Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,Location,1. What is your home zip code?,2. What brings you to Arthur Ave today?,,,,,,,,,3. If shopping/dining/visiting business - Did you specifically come to Arthur Ave to shop/dine/visit business or are you on your way to/from somewhere else?,4. How often do you visit the Little Italy neighborhood?,5. How did you get to Arthur Ave today?,,"6a. If bus, which bus lines do you use to get to or travel around the Arthur Ave area? (Enter all bus lines separated by commas)","6b. If bus, On a scale of 1-5 where 1 is very dissatisfied and 5 is very satisfied, how would you rate your bus trip today?","6c. If bus, what was the biggest issue with your bus ride today?",,"7a. If personal car, did you experience any difficulty finding parking on/around Arthur Avenue?","7b. If personal car, how long did it take you to find a spot?","7c. If personal car, about how many blocks away from your destination did you park?","7d. If personal car, did you pay to park?","7e. If personal car, how long will you be parked for?","7f. Specific to the Fordham Rd area, do you think a short-term parking zone (such as 30 mins or less) on or adjacent to Fordham Rd would be useful for quick errands or passenger pickup/drop-off?",,"8a. If personal car, dropped off or Taxis/ FHV, would you be more likely to take transit if bus speeds and reliability improved around the Arthur Ave area?","8b. If personal car, what would encourage you to use public transit for this trip?","9. Do you experience any pain points, obstacles or other transportation related challenges traveling in this neighborhood? If yes, please tell us what they are:","10. Would you support a busway along a portion Fordham Rd, between Jerome Ave and Webster Ave, that prioritizes buses and trucks by limiting thru traffic (local access and parking for private vehicles would still be allowed)? Most busways offer transit and freight priority, allowing buses and trucks to travel along the entire corridor. For other vehicles, such as taxis and cars, travel through the busway corridor is restricted, but general traffic are still allowed to enter for local access – meaning cars can enter for loading, picking up, and dropping off customers. Newly added parking spaces may also be included in some portions of the busway where the bus lane currently exists.",*11. How do you identify in terms of gender? (Select all that apply),,,,,,,*12. How do you identify in terms of race/ethnicity? (Select all that apply),,,,,,,,,,*13. What is your age? (Enter 0 if they prefer not to say),Additional Comments:
1.14277E+11,425087348,2023-03-24 15:01:17,2023-03-24 15:07:21,174.216.224.216,,,,,"Arthur Avenue Retail Market, 2344 Arthur Avenue, The Bronx, NY 10458",6907,Shopping/Dining/Visiting Business,,,,,,,,,Came specifically to Arthur Ave to visit businesses,Monthly,Personal Car,,,,,,No,5 minutes or less,Less than 1 block,"Yes, on street metered parking (i.e. Arthur Ave or side street)",More than 2 hours,No,,,"Easier to drive, I hate to say it, but we also visit other areas and we are traveling with a small grandson. ","Hard to due the left hand turn on Fordham Rd, Goes down Lorrilard to come down. ",3 - Neutral,,Female,,,,,,,,,,,,White,,,,65,Double parking on Arthur Avenue is heavy and parking can be tricky. 
1.14277E+11,425087348,2023-03-24 14:56:44,2023-03-24 15:01:16,174.216.224.216,,,,,"Arthur Avenue Retail Market, 2344 Arthur Avenue, The Bronx, NY 10458",10805,Shopping/Dining/Visiting Business,,,,,,,,,Came specifically to Arthur Ave to visit businesses,Monthly,Personal Car,,,,,,Yes,6 - 10 minutes,3-5 blocks,"Yes, on street metered parking (i.e. Arthur Ave or side street)",1 hour 1 minute - 2 hours,No,,No,,Traffic - Fordham Rd has a lot of Traffic it's challenging. ,2 - Agree,,Female,,,,,,,,,,,,White,,,,33,
1.14277E+11,425087348,2023-03-24 14:16:57,2023-03-24 14:59:06,172.58.224.235,,,,,"Fabco Shoes, 2375 Arthur Ave, The Bronx, NY 10458",10601,Shopping/Dining/Visiting Business,,,,,,,,,Came specifically to Arthur Ave to visit businesses,Weekly,Personal Car,40,,,,,Yes,More than 15 minutes,3-5 blocks,No,1 hour 1 minute - 2 hours,No,,No,Would not take public transpo ,Traffic congestion and parking ,4 - Disagree,Male,,,,,,,,,,,,,White,,,,69,
1.14277E+11,425087348,2023-03-24 14:50:21,2023-03-24 14:56:44,174.216.224.216,,,,,"Arthur Avenue Retail Market, 2344 Arthur Avenue, The Bronx, NY 10458",10041,Shopping/Dining/Visiting Business,,,,,,,,,Came specifically to Arthur Ave to visit businesses,Daily,Personal Car,,,,,,Yes,5 minutes or less,Less than 1 block,"Yes, on street metered parking (i.e. Arthur Ave or side street)",More than 2 hours,Yes,N/A,Yes,Connectivity to the buses and trains. It would be multiple transfers to get here and a long walk distance. ,"Difficulty merging onto Fordham Rd due to high traffic, takes 5 to 6 light changes.   More police should direct the traffic at this location.",1 - Strongly Agree,Male,,,,,,,,,,,,,White,,,,60,Traffic police should also be at cross Bronx expressway to avoid blocking the box. 
1.14277E+11,425087348,2023-03-24 14:42:19,2023-03-24 14:50:21,174.216.224.216,,,,,"Arthur Avenue Retail Market, 2344 Arthur Avenue, The Bronx, NY 10458",10453,Shopping/Dining/Visiting Business,,,,,,,,,Came specifically to Arthur Ave to visit businesses,Weekly,Bus,,Bx12,5 - Very satisfied,No issues,,,,,,,,,,,No issues walking from the bus. ,1 - Strongly Agree,,Female,,,,,,,,,Hispanic or Latinx,,,,,,,61,"Participant visits Arthur Ave twice a week to go dining and grocery shopping, she specifically goes to the Arthur Ave Retail Market, from another part of the Bronx, she uses the 1 train and then the Bx12 bus line. She says the bus is excellent and fully supports the idea of a busway. "
1.14277E+11,425087348,2023-03-24 14:16:33,2023-03-24 14:42:19,174.216.224.216,,,,,"Arthur Avenue Retail Market, 2344 Arthur Avenue, The Bronx, NY 10458",10458,Shopping/Dining/Visiting Business,Live Here,Medical,Work,School,Social/Recreational/Religious,Community Resource,,,Came specifically to Arthur Ave to visit businesses,Daily,Personal Car,,,,,,No,5 minutes or less,Less than 1 block,No,16 - 20 minutes,Yes,,No,Older adults drive in the community ,"The traffic restriction signs on Fordham from 7am to 7pm are good, because now the traffic flows. Before the busway on Fordham, people used to triple and double park up all of the whole Fordham Rd. ",3 - Neutral,,Female,,,,,,,,Black or African American,,,,,,,,85,"Participant drives here to Grocery shop with her friend who is also an older adult. She only takes the bus to Queens, the Q44 to visit her daughter. In the Bronx, she drives, around Arthur Ave and traffic is not too bad. She mentioned she has driven in this area for 50 years. "
1.14277E+11,425087348,2023-03-24 13:46:56,2023-03-24 14:32:48,174.204.141.64,,,,,"Arthur Avenue Retail Market, 2344 Arthur Avenue, The Bronx, NY 10458",10458,,Live Here,,Work,,,,,,Came specifically to Arthur Ave to visit businesses,Daily,Personal Car,5 minutes,,,,,Yes,11 - 15 minutes,1-2 blocks,"Yes, on street metered parking (i.e. Arthur Ave or side street)",More than 2 hours,Yes,I don’t know,No,I want to drive my car,Traffic specially on Fridays,1 - Strongly Agree,Male,,,,,,,,,,Hispanic or Latinx,,,,,,,61,
1.14277E+11,425087348,2023-03-24 13:58:05,2023-03-24 14:16:57,172.58.225.60,,,,,"Fabco Shoes, 2375 Arthur Ave, The Bronx, NY 10458",10458,,,,,,,,Transit Transfer/Going Home/Passing Through,,,Daily,Walk,5,,,,,,,,,,,,,,No issues ,1 - Strongly Agree,,,,,,Prefer not to say,,,,,Hispanic or Latinx,,,,,,,79,
1.14277E+11,425087348,2023-03-24 14:09:36,2023-03-24 14:16:32,174.216.224.216,,,,,"Arthur Avenue Retail Market, 2344 Arthur Avenue, The Bronx, NY 10458",6831,Shopping/Dining/Visiting Business,,,,,,,,,Came specifically to Arthur Ave to visit businesses,Weekly,Personal Car,,,,,,No,5 minutes or less,Less than 1 block,"Yes, on street metered parking (i.e. Arthur Ave or side street)",More than 2 hours,,,No,"Participant lives in Connecticut, prefers to drive. ",Double parking is problematic on Arthur Avenue. ,3 - Neutral,Male,,,,,,,,,,,,,White,,,,22,Remove vehicles that are double parking. Participant wanted to know why vehicles remain double parked for hours at a time while he visits Arthur Avenue. Participant said vehicles can get trapped inside their parking spaces if the double parked drivers do not return to their vehicles. 
1.14277E+11,425087348,2023-03-24 14:04:46,2023-03-24 14:09:36,174.216.224.216,,,,,"Arthur Avenue Retail Market, 2344 Arthur Avenue, The Bronx, NY 10458",10458,Shopping/Dining/Visiting Business,,,,,,,,,Came specifically to Arthur Ave to visit businesses,Daily,Walk,,,,,,,,,,,,,,,No issues.,3 - Neutral,Male,,,,,,,,,,,,,White,,,,82,"VI interpreted the survey in Italian. The participant is 82 years old, he walks daily on Arthur Ave and lives nearby. He does a lot of his shopping here and visits the library on a daily basis. He says it's a good area and things are in good condition. He doesn't leave the area because of his age. He does all errands nearby. "
1.14277E+11,425087348,2023-03-24 14:01:47,2023-03-24 14:03:22,174.216.224.216,,,,,"Arthur Avenue Retail Market, 2344 Arthur Avenue, The Bronx, NY 10458",10458,Shopping/Dining/Visiting Business,,,,School,,,,,Came specifically to Arthur Ave to visit businesses,Daily,Walk,,,,,,,,,,,,,,,Sidewalk conditions can be improved. ,3 - Neutral,Male,,,,,,,,,Black or African American,,,,,,,,21,
1.14277E+11,425087348,2023-03-24 12:51:49,2023-03-24 14:01:47,174.216.224.216,,,,,"Arthur Avenue Retail Market, 2344 Arthur Avenue, The Bronx, NY 10458",10458,Shopping/Dining/Visiting Business,,,,School,,,,,Came specifically to Arthur Ave to visit businesses,Daily,Walk,,,,,,,,,,,,,,,No issues,3 - Neutral,,Female,,,,,,,,Black or African American,,,,,,,,20,Sidewalk conditions can be improved along Arthur Avenue they are bumpy. 
1.14277E+11,425087348,2023-03-24 13:54:34,2023-03-24 13:58:05,172.58.224.97,,,,,"Fabco Shoes, 2375 Arthur Ave, The Bronx, NY 10458",10458,,,,,,Social/Recreational/Religious,,,,,Daily,Walk,5,,,,,,,,,,,,,,Lots of cars double parking on Arthur Ave making it dangerous for pedestrians. Also garbage needs to be cleaned up in this area. ,5 - Strongly Disagree,Male,,,,,,,,,,Hispanic or Latinx,,,,,,,66,
1.14277E+11,425087348,2023-03-24 13:19:09,2023-03-24 13:53:30,174.216.244.190,,,,,"Arthur Avenue Retail Market, 2344 Arthur Avenue, The Bronx, NY 10458",12590,Shopping/Dining/Visiting Business,,,,,,,,,Visited another nearby shopping district (i.e. Fordham Rd or others),Seasonally,Personal Car,,,,,,No,6 - 10 minutes,Less than 1 block,"Yes, off street (in a lot/garage)",More than 2 hours,Yes,,No,No,No,2 - Agree,,Female,,,,,,,,,,,,White,,,,50,
1.14277E+11,425087348,2023-03-24 13:22:10,2023-03-24 13:31:45,174.204.141.64,,,,,"Arthur Avenue Retail Market, 2344 Arthur Avenue, The Bronx, NY 10458",10458,Shopping/Dining/Visiting Business,Live Here,,,,,,,,Came specifically to Arthur Ave to visit businesses,Daily,Bus,15 minutes,BX12,2 - Dissatisfied,Waited too long for the bus,,,,,,,No,,,,None,3 - Neutral,Male,,,,,,,,,Black or African American,,,,,,,,50,The respondent says 30 minutes for limited parking near the Fordham Rd area it’s a short time.
1.14277E+11,425087348,2023-03-24 13:19:13,2023-03-24 13:28:27,172.58.224.33,,,,,"Fabco Shoes, 2375 Arthur Ave, The Bronx, NY 10458",10458,Shopping/Dining/Visiting Business,,,,,,,,,Came specifically to Arthur Ave to visit businesses,Daily,Walk,25,,,,,,,,,,,,,,No issues ,1 - Strongly Agree,,Female,,,,,,,,,Hispanic or Latinx,,,,,,,52,
1.14277E+11,425087348,2023-03-24 13:09:10,2023-03-24 13:22:23,174.216.244.190,,,,,"Arthur Avenue Retail Market, 2344 Arthur Avenue, The Bronx, NY 10458",10458,Shopping/Dining/Visiting Business,,,,,,,,,Visited another nearby shopping district (i.e. Fordham Rd or others),Weekly,Walk,,,,,,,,,,,,,,,No,1 - Strongly Agree,,Female,,,,,,,,,Hispanic or Latinx,,,,,,,55,"Buses run faster with the busway on Fordham Rd. Before we have bus lanes there, it takes forever for buses to get through. It would be helpful to have bus service or bike share in this are on Arthur Ave."
1.14277E+11,425087348,2023-03-24 13:11:18,2023-03-24 13:22:10,174.204.141.64,,,,,"Arthur Avenue Retail Market, 2344 Arthur Avenue, The Bronx, NY 10458",10601,Shopping/Dining/Visiting Business,,,,,,,,,Came specifically to Arthur Ave to visit businesses,Monthly,Personal Car,,,,,,No,5 minutes or less,3-5 blocks,"Yes, on street metered parking (i.e. Arthur Ave or side street)",1 hour 1 minute - 2 hours,No,,No,No public transit near Arthur. I drive my car from White Plains Westchester and it’s easier to drive my car. ,Double parking,3 - Neutral,Male,,,,,,,,,,,,,White,,,,70,
1.14277E+11,425087348,2023-03-24 13:13:21,2023-03-24 13:19:13,172.58.224.183,,,,,"Fabco Shoes, 2375 Arthur Ave, The Bronx, NY 10458",10457,,,,,,,,Transit Transfer/Going Home/Passing Through,,Stopping by (i.e. on way home from work),Daily,Walk,5,,,,,,,,,,,,,,Traffic can be congested sometimes ,2 - Agree,,,,,,Prefer not to say,,,,,,,,,,Prefer not to say,,63,
1.14277E+11,425087348,2023-03-24 13:16:57,2023-03-24 13:19:09,174.216.244.190,,,,,"Arthur Avenue Retail Market, 2344 Arthur Avenue, The Bronx, NY 10458",10457,Shopping/Dining/Visiting Business,,,,,,,,,Visited another nearby shopping district (i.e. Fordham Rd or others),Daily,Walk,,,,,,,,,,,,,,,Bus runs too slow.,2 - Agree,,Female,,,,,,,,,Hispanic or Latinx,,,,,,,42,
1.14277E+11,425087348,2023-03-24 13:10:05,2023-03-24 13:13:21,172.58.225.165,,,,,"Fabco Shoes, 2375 Arthur Ave, The Bronx, NY 10458",10458,Shopping/Dining/Visiting Business,,,,,,,,,Came specifically to Arthur Ave to visit businesses,Weekly,Bus,10,Bx12,4 - Satisfied,No issues,,,,,,,,,,,Bx12 is very slow ,1 - Strongly Agree,,Female,,,,,,,,,Hispanic or Latinx,,,,,,,40,
1.14277E+11,425087348,2023-03-24 12:53:29,2023-03-24 13:11:17,174.204.141.64,,,,,"Arthur Avenue Retail Market, 2344 Arthur Avenue, The Bronx, NY 10458",10457,Shopping/Dining/Visiting Business,Live Here,,,,,,,,Came specifically to Arthur Ave to visit businesses,Daily,Bus,5 minutes ,"BX15, BX9",3 - Neutral,Bus was too crowded,,,,,,,Yes,180th Street with 3rd Ave ,,,Wait a lot for the bus,1 - Strongly Agree,Male,,,,,,,,,,Hispanic or Latinx,,,,,,,75,
1.14277E+11,425087348,2023-03-24 12:54:40,2023-03-24 13:10:43,172.56.160.55,,,,,"Fabco Shoes, 2375 Arthur Ave, The Bronx, NY 10458",10453,Shopping/Dining/Visiting Business,,,,,,,,,Came specifically to Arthur Ave to visit businesses,Weekly,Walk,20 minutes ,,,,,,,,,,,,,,Hospital Ave is difficult to cross for pedestrians ,1 - Strongly Agree,,Female,,,,,,,,,Hispanic or Latinx,,,,,,,53,
1.14277E+11,425087348,2023-03-24 12:52:45,2023-03-24 13:10:05,172.58.224.157,,,,,"Fabco Shoes, 2375 Arthur Ave, The Bronx, NY 10458",10453,Shopping/Dining/Visiting Business,,,,,,,,,Came specifically to Arthur Ave to visit businesses,Weekly,Walk,20,,,,,,,,,,,,,,Hospital Avenue is difficult to cross for pedestrians ,1 - Strongly Agree,,Female,,,,,,,,,Hispanic or Latinx,,,,,,,52,
1.14277E+11,425087348,2023-03-24 12:25:08,2023-03-24 13:09:10,174.216.244.190,,,,,"Fabco Shoes, 2375 Arthur Ave, The Bronx, NY 10458",10457,Shopping/Dining/Visiting Business,,,,,,,,,Visited another nearby shopping district (i.e. Fordham Rd or others),Daily,Walk,,,,,,,,,,,,,,,No,2 - Agree,,Female,,,,,,,,Black or African American,,,,,,,,58,"""Yes. The faster the bus, better especially for (going to) work."""
1.14277E+11,425087348,2023-03-24 12:51:34,2023-03-24 12:54:39,172.56.160.55,,,,,"Fabco Shoes, 2375 Arthur Ave, The Bronx, NY 10458",10457,Shopping/Dining/Visiting Business,Live Here,,,,,,,,Stopping by (i.e. on way home from work),Weekly,Walk,10 minutes ,,,,,,,,,,,,,,No,1 - Strongly Agree,Male,,,,,,,,,,Hispanic or Latinx,,,,,,,64,
1.14277E+11,425087348,2023-03-24 11:54:27,2023-03-24 12:53:28,174.204.141.64,,,,,"Arthur Avenue Retail Market, 2344 Arthur Avenue, The Bronx, NY 10458",10458,Shopping/Dining/Visiting Business,,,,,,,,Lives here,Came specifically to Arthur Ave to visit businesses,Daily,Personal Car,5 minutes,,,,,Yes,More than 15 minutes,1-2 blocks,"Yes, on street metered parking (i.e. Arthur Ave or side street)",More than 2 hours,No,,No,I want to drive my car ,Walking when I carry my bags ,2 - Agree,Male,,,,,,,,,,,,,White,,,,59,I live very close but when my sister comes from Yonkers she spends a long time finding parking in the area. I do support the busway. I wouldn’t take public transportation because the Fordham train station is very far and it takes 20 minutes walk. 
1.14277E+11,425087348,2023-03-24 12:23:48,2023-03-24 12:52:45,172.58.224.191,,,,,"Fabco Shoes, 2375 Arthur Ave, The Bronx, NY 10458",10457,,Live Here,,,,,,,,Stopping by (i.e. on way home from work),Daily,Walk,10,,,,,,,,,,,,,,No issues ,1 - Strongly Agree,,Female,,,,,,,,,Hispanic or Latinx,,,,,,,59,
1.14277E+11,425087348,2023-03-24 12:23:57,2023-03-24 12:51:48,174.216.224.216,,,,,"Arthur Avenue Retail Market, 2344 Arthur Avenue, The Bronx, NY 10458",10458,Shopping/Dining/Visiting Business,,Medical,Work,,Social/Recreational/Religious,,,,Came specifically to Arthur Ave to visit businesses,Daily,Walk,,"Bx9, Bx12, Bx22",3 - Neutral,Waited too long for the bus,,,,,,,,,,,"Buses take too long to come if you miss them, especially in the cold. ",1 - Strongly Agree,Male,,,,,,,,,,Hispanic or Latinx,,,,,,,25,Lighting can be improved in the area. 
1.14277E+11,425087348,2023-03-24 12:11:46,2023-03-24 12:25:08,174.216.244.190,,,,,"Fabco Shoes, 2375 Arthur Ave, The Bronx, NY 10458",10458,Shopping/Dining/Visiting Business,,,,,,,,,Visited another nearby shopping district (i.e. Fordham Rd or others),Daily,Walk,,,,,,,,,,,,,,,No,2 - Agree,Male,,,,,,,,,,,,,White,,,,0,Bus driver doesn't let he go on the bus because of his walker.
1.14277E+11,425087348,2023-03-24 12:08:48,2023-03-24 12:23:57,174.216.224.216,,,,,"Arthur Avenue Retail Market, 2344 Arthur Avenue, The Bronx, NY 10458",10458,Shopping/Dining/Visiting Business,,,,,,,,,Came specifically to Arthur Ave to visit businesses,Daily,Walk,,Bx12,,,,,,,,,,,,,Busses are good. ,1 - Strongly Agree,,Female,,,,,,,,,,,,,"Other race, ethnicity or origin",,,73,Participant said Fordham should have the busway like Crotona Ave because it's very busy with a lot of traffic 
1.14277E+11,425087348,2023-03-24 12:17:31,2023-03-24 12:23:47,172.58.225.124,,,,,"Fabco Shoes, 2375 Arthur Ave, The Bronx, NY 10458",10458,Shopping/Dining/Visiting Business,,,,,,,,,Visited another nearby shopping district (i.e. Fordham Rd or others),Daily,Walk,,Bx12,,,,,,,,,,,,,No,4 - Disagree,,Female,,,,,,,,,Hispanic or Latinx,,,,,,,83,This elder adult does not want to see the bus lane on Fordham Rd because she also drive. 
1.14277E+11,425087348,2023-03-24 12:16:04,2023-03-24 12:17:31,172.58.224.254,,,,,"Fabco Shoes, 2375 Arthur Ave, The Bronx, NY 10458",10458,,,,,School,,,,,Stopping by (i.e. on way home from work),Daily,Walk,20,,,,,,,,,,,,,,No issues ,1 - Strongly Agree,,Female,,,,,,,,,Hispanic or Latinx,,,,,,,43,
1.14277E+11,425087348,2023-03-24 12:07:53,2023-03-24 12:11:46,174.216.244.190,,,,,"Fabco Shoes, 2375 Arthur Ave, The Bronx, NY 10458",10457,Shopping/Dining/Visiting Business,,,,,,,,,Visited another nearby shopping district (i.e. Fordham Rd or others),Daily,Walk,,,,,,,,,,,,,,,NA,2 - Agree,,Female,,,,,,,,,Hispanic or Latinx,,,,,,,0,
1.14277E+11,425087348,2023-03-24 12:04:24,2023-03-24 12:07:52,174.216.244.190,,,,,,10458,Shopping/Dining/Visiting Business,,,,,,,,,Stopping by (i.e. on way home from work),Daily,Bus,,Bx15,4 - Satisfied,No issues,,,,,,,,,,,No,3 - Neutral,,Female,,,,,,,,,Hispanic or Latinx,,,,,,,59,
1.14277E+11,425087348,2023-03-24 11:54:28,2023-03-24 11:59:22,174.216.224.216,,,,,"Arthur Avenue Retail Market, 2344 Arthur Avenue, The Bronx, NY 10458",10039,Shopping/Dining/Visiting Business,,,,,,,,,Came specifically to Arthur Ave to visit businesses,Weekly,Bus,,"Bx12, Bx22",4 - Satisfied,No issues,,,,,,,,,,,No issues. Crowded on Fordham Rd. ,1 - Strongly Agree,Male,,,,,,,American Indian and/or Alaska Native,,,,,,,,,,38,
1.14277E+11,425087348,2023-03-24 11:45:41,2023-03-24 11:56:47,172.58.224.84,,,,,"Fabco Shoes, 2375 Arthur Ave, The Bronx, NY 10458",10458,Shopping/Dining/Visiting Business,,,,,,,,Live around here ,Stopping by (i.e. on way home from work),Daily,Walk,5,,,,,,,,,,,,,,No issues ,1 - Strongly Agree,,Female,,,,,,,,,Hispanic or Latinx,,,White,,,,57,
1.14277E+11,425087348,2023-03-24 11:51:07,2023-03-24 11:54:28,174.216.224.216,,,,,"Arthur Avenue Retail Market, 2344 Arthur Avenue, The Bronx, NY 10458",10458,Shopping/Dining/Visiting Business,,,,,,,,,Came specifically to Arthur Ave to visit businesses,Daily,Walk,,,,,,,,,,,,,,,The area needs more lighting especially by 183rd street.,1 - Strongly Agree,,Female,,,,,,,,,Hispanic or Latinx,,,,,,,37,Improvements are needed to the busses. 
1.14277E+11,425087348,2023-03-24 11:49:42,2023-03-24 11:54:27,174.204.141.64,,,,,"Prince Coffee House, 2306 Arthur Ave, Bronx, NY 10458",10458,Shopping/Dining/Visiting Business,,,,,,,,Lives here,Came specifically to Arthur Ave to visit businesses,Daily,Walk,15 minutes ,,,,,,,,,,Yes,Near the Zoo,,,Speeding vehicles and traffic. And people is anxious to get a parking spot.,1 - Strongly Agree,,Female,,,,,,,,,Hispanic or Latinx,,,,,,,54,
1.14277E+11,425087348,2023-03-24 11:47:52,2023-03-24 11:51:06,174.216.224.216,,,,,"Arthur Avenue Retail Market, 2344 Arthur Avenue, The Bronx, NY 10458",,Shopping/Dining/Visiting Business,,,,,,,,,Came specifically to Arthur Ave to visit businesses,Seasonally,Personal Car,,,,,,No,5 minutes or less,Less than 1 block,"Yes, on street metered parking (i.e. Arthur Ave or side street)",More than 2 hours,Yes,,,Participant would supports transit his brother in law is a conductor on the train,"Participant used to live in NYC and is used to the conditions, no issues. ",2 - Agree,Male,,,,,,,,,,,,,White,,,,82,No issues. 
1.14277E+11,425087348,2023-03-24 11:40:19,2023-03-24 11:49:42,174.204.141.64,,,,,"Prince Coffee House, 2306 Arthur Ave, Bronx, NY 10458",10541,Shopping/Dining/Visiting Business,,,,,,,,,Came specifically to Arthur Ave to visit businesses,Monthly,Personal Car,45 minutes ,,,,,No,5 minutes or less,Less than 1 block,"Yes, on street metered parking (i.e. Arthur Ave or side street)",1 hour 1 minute - 2 hours,Yes,,No,I know this are very well. I won’t take public transit because I have my car.,None,1 - Strongly Agree,Male,,,,,,,,,,,,,White,,,,85,Coming from upstate New York
1.14277E+11,425087348,2023-03-24 10:14:24,2023-03-24 11:45:40,172.58.225.14,,,,,"Fabco Shoes, 2375 Arthur Ave, The Bronx, NY 10458",10458,,,,Work,,,,,Live here ,Stopping by (i.e. on way home from work),Daily,Walk,5,,,,,,,,,,,,,,No issues ,1 - Strongly Agree,,Female,,,,,,,,,Hispanic or Latinx,,,White,,,,65,
1.14277E+11,425087348,2023-03-24 11:35:02,2023-03-24 11:40:18,174.204.141.64,,,,,"Arthur Avenue Retail Market, 2344 Arthur Avenue, The Bronx, NY 10458",10591,,,,Work,,,,,,Came specifically to Arthur Ave to visit businesses,Daily,Personal Car,30 minutes,,,,,Yes,5 minutes or less,1-2 blocks,"Yes, on street metered parking (i.e. Arthur Ave or side street)",More than 2 hours,Yes,,Yes,More options of transportation more routes . Only two routes come here. The train is 20 minutes walk ,More options of transportation more routes . Only two routes come here. The train is 20 minutes walk ,2 - Agree,Male,,,,,,,,,,,,,White,,,,30,
1.14275E+11,425087348,2023-03-22 16:00:03,2023-03-22 16:06:38,174.204.132.115,,,,,"Casa Della Mozzerella, 604 East 187 St, The Bronx, NY 10458",6770,Shopping/Dining/Visiting Business,,,,,,,,,Came specifically to Arthur Ave to visit businesses,Monthly,Personal Car,1 hour and half,,,,,No,5 minutes or less,Less than 1 block,"Yes, on street metered parking (i.e. Arthur Ave or side street)",,Yes,If someone lives around here,No,I live far away in Connecticut is cheaper travel by  car ,None ,2 - Agree,Male,,,,,,,,,,,,,White,,,,70,Family coming from Connecticut visiting once at month.
1.14275E+11,425087348,2023-03-22 16:03:11,2023-03-22 16:06:26,174.216.242.194,,,,,"Casa Della Mozzerella, 604 East 187 St, The Bronx, NY 10458",10029,Shopping/Dining/Visiting Business,,,,,,,,,Came specifically to Arthur Ave to visit businesses,Weekly,Personal Car,,,,,,No,5 minutes or less,1-2 blocks,"Yes, on street metered parking (i.e. Arthur Ave or side street)",More than 2 hours,Yes,,,Mass transit to be more accessible. ,Traffic ,1 - Strongly Agree,Male,,,,,,,,,,,,,White,,,,37,"Multiple turning lanes onto Arthur Ave, traffic backs onto Arthur Ave. "
1.14275E+11,425087348,2023-03-22 16:00:07,2023-03-22 16:03:11,174.216.242.194,,,,,"Casa Della Mozzerella, 604 East 187 St, The Bronx, NY 10458",6770,Shopping/Dining/Visiting Business,,,,,,,,,Came specifically to Arthur Ave to visit businesses,Monthly,Personal Car,,,,,,No,6 - 10 minutes,Less than 1 block,"Yes, on street metered parking (i.e. Arthur Ave or side street)",More than 2 hours,Yes,On a side street,No,,No issues,1 - Strongly Agree,,Female,,,,,,,,,,,,White,,,,73,Double parking is a problem 
1.14275E+11,425087348,2023-03-22 15:38:20,2023-03-22 15:51:24,174.204.132.115,,,,,"Casa Della Mozzerella, 604 East 187 St, The Bronx, NY 10458",10522,Shopping/Dining/Visiting Business,,,,,,,,,Came specifically to Arthur Ave to visit businesses,Seasonally,Personal Car,30 minutes ,,,,,No,5 minutes or less,1-2 blocks,"Yes, on street metered parking (i.e. Arthur Ave or side street)",31 minutes - 1 hour,Yes,As close to Arthur Ave as possible,Yes,I have kids and too many steps to take public transportation. Timing wise is not a good option for me.,None ,3 - Neutral,,Female,,,,,,,,,,,,White,,,,45,The participant lives in Dobbs Ferry and was visiting after going to the Botanical Garden in the Bronx. 
1.14275E+11,425087348,2023-03-22 14:53:52,2023-03-22 15:34:50,174.204.132.115,,,,,"Casa Della Mozzerella, 604 East 187 St, The Bronx, NY 10458",10461,Shopping/Dining/Visiting Business,,,,,,,,,Came specifically to Arthur Ave to visit businesses,Daily,Bus,30 minutes,"BX12, BX19",3 - Neutral,Waited too long for the bus,,,,,,,,,,,The bus stops are far away from Arthur Ave and I have to walk more.,2 - Agree,,Female,,,,,,,,,Hispanic or Latinx,,,,,,,55,
1.14275E+11,425087348,2023-03-22 12:59:54,2023-03-22 15:19:49,174.197.129.140,,,,,"T-Mobile, 2394 Arthur Ave, The Bronx, NY 10458",10466,,,,Work,,,,,,,Weekly,Subway,,,,,,,,,,,,,,,No,2 - Agree,Male,,,,,,,,,,Hispanic or Latinx,,,,,,,29,
1.14275E+11,425087348,2023-03-22 14:49:29,2023-03-22 14:53:51,174.204.132.115,,,,,"Casa Della Mozzerella, 604 East 187 St, The Bronx, NY 10458",10457,,,,,,,,,I live here,Came specifically to Arthur Ave to visit businesses,Daily,Walk,Ten minutes ,,,,,,,,,,,,,,Speeding vehicles ,2 - Agree,,Female,,,,,,,,,Hispanic or Latinx,,,,,,,48,
1.14275E+11,425087348,2023-03-22 13:41:36,2023-03-22 14:05:17,172.58.222.224,,,,,"T-Mobile, 2394 Arthur Ave, The Bronx, NY 10458",10458,Shopping/Dining/Visiting Business,,,,,,,,,Came specifically to Arthur Ave to visit businesses,Daily,Walk,20,,,,,,,,,,,,,,No issues ,1 - Strongly Agree,,Female,,,,,,,,,Hispanic or Latinx,,,,,,,53,
